Title,address,price,room_detail
【空室2件】 コンシェリアＲ 横濱桜木町,神奈川県横浜市中区野毛町２丁目,"74,500円 (管理費14,000円)",607号室 / 1K / 21.18㎡ / 南西
【空室7件】 カンプ・ノウ　TOTSUKA,神奈川県横浜市戸塚区戸塚町,"62,000円 (管理費3,000円)",302号室 / 1R / 17.01㎡ / -
【空室4件】 第２０シグマビルディング関内,神奈川県横浜市中区扇町１丁目,"67,000円 (管理費7,000円)",501号室 / 1R / 24.65㎡ / 北東
【空室2件】 ネルソンパートⅤ,神奈川県横浜市中区簑沢,"35,000円 (管理費3,000円)",106号室 / 1K / 12.34㎡ / 南西
【空室2件】 ホワイトヒル白楽,神奈川県横浜市神奈川区白幡上町,"42,000円 (管理費3,000円)",201号室 / 1K / 15.67㎡ / 北西
【空室2件】 武KOシティ,神奈川県横浜市神奈川区平川町,"65,000円 (管理費5,000円)",302号室 / 2DK / 33.34㎡ / 南西
【空室1件】 ベイステージ横浜４３２,神奈川県横浜市神奈川区新浦島町１丁目,"164,000円 (管理費12,000円)",１１３０号室 / 1SLDK / 65.6㎡ / 南東
【空室1件】 リブリ・笠間,神奈川県横浜市栄区笠間２丁目,"75,000円 (管理費4,000円)",201号室 / 1K / 21.73㎡ / 南東
【空室2件】 リブリ・MKB,神奈川県横浜市金沢区寺前１丁目,"69,000円 (管理費4,000円)",202号室 / 1K / 21.53㎡ / 南西
【空室1件】 プラージュベイ横濱関内,神奈川県横浜市中区不老町３丁目,"91,000円 (管理費8,000円)",204号室 / 1K / 29.17㎡ / 北東
【空室3件】 STAR　CLOUD洋光台,神奈川県横浜市磯子区洋光台６丁目,"58,000円 (管理費3,000円)",105号室 / 1R / 18.3㎡ / 南西
【空室2件】 アルバカーサ鶴見,神奈川県横浜市鶴見区北寺尾１丁目,"55,000円 (管理費3,000円)",203号室 / 1K / 15㎡ / 南東
【空室1件】 メゾンコットンハーバー,神奈川県横浜市神奈川区神奈川本町,"75,000円 (管理費4,000円)",205号室 / 1K / 22.35㎡ / 南
【空室1件】 リブリ・コーワハイム,神奈川県横浜市栄区笠間３丁目,"72,000円 (管理費5,000円)",107号室 / 1K / 26.08㎡ / 南西
【空室1件】 プラザ仲町台センター,神奈川県横浜市都筑区仲町台１丁目,"68,000円 (管理費5,000円)",602号室 / 1DK / 29.78㎡ / 南西
【空室1件】 江田パークサイドマンション,神奈川県横浜市青葉区荏田北１丁目,"55,000円 (管理費5,000円)",101号室 / 1R / 31.25㎡ / 北西
【空室3件】 サムティレジデンス藤が丘,神奈川県横浜市青葉区千草台,"175,000円 (管理費15,000円)",702号室 / 3LDK / 62.09㎡ / 南西
【空室1件】 神奈川県横浜市旭区左近山団地２６街区,神奈川県横浜市旭区左近山,"60,000円 (管理費5,000円)",503号室 / 2DK / 48㎡ / 南
【空室49件】 パークアクシス横浜阪東橋,神奈川県横浜市南区浦舟町３丁目,"79,000円 (管理費10,000円)",404号室 / 1K / 22.18㎡ / 東
【空室1件】 ピアタウン日吉,神奈川県横浜市港北区箕輪町２丁目,"95,000円 (管理費5,000円)",505号室 / 2DK / 43.9㎡ / 南東
【空室1件】 リブリ・シュエット,神奈川県横浜市港南区笹下５丁目,"57,000円 (管理費4,000円)",107号室 / 1K / 21.73㎡ / 南
【空室1件】 ライオンズプラザ吉野町駅前,神奈川県横浜市南区吉野町２丁目,"145,000円 (管理費0円)",０４０４号室 / 3LDK / 63.89㎡ / 南東
【空室3件】 カーサフェリス,神奈川県横浜市神奈川区七島町,"43,000円 (管理費2,000円)",207号室 / 1R / 16.18㎡ / 南
【空室1件】 ディームス横濱青木町,神奈川県横浜市神奈川区青木町,"240,000円 (管理費15,000円)",0101号室 / 3LDK / 61.55㎡ / 南
【空室4件】 パークアクシス横濱高島町,神奈川県横浜市西区戸部本町,"97,000円 (管理費10,000円)",405号室 / 1K / 24.26㎡ / 西
【空室1件】 オリーブハウス菊名,神奈川県横浜市港北区菊名,"63,000円 (管理費3,000円)",102号室 / 1R / 18.45㎡ / 南
【空室1件】 コーポミツフジ,神奈川県横浜市鶴見区鶴見中央２丁目,"52,000円 (管理費3,000円)",305号室 / 1K / 21.66㎡ / 南西
【空室1件】 ハイムカケヒ,神奈川県横浜市瀬谷区瀬谷３丁目,"50,000円 (管理費3,000円)",202号室 / 1K / 21.73㎡ / 南
【空室1件】 リビオメゾン横濱大通り公園,神奈川県横浜市中区弥生町３丁目,"227,000円 (管理費12,000円)",0903号室 / 2SLDK / 64.45㎡ / 南
【空室4件】 レジディア新横浜,神奈川県横浜市港北区新横浜１丁目,"76,000円 (管理費7,000円)",0201号室 / 1K / 25.02㎡ / 西
【空室1件】 リブリ・グリューネ槇の家,神奈川県横浜市鶴見区矢向５丁目,"77,000円 (管理費5,000円)",204号室 / 1K / 26.08㎡ / 西
【空室1件】 ヴィシェット日吉,神奈川県横浜市港北区高田東１丁目,"52,000円 (管理費5,000円)",209号室 / 1K / 20㎡ / 南
【空室1件】 パーク・ノヴァ綱島,神奈川県横浜市港北区綱島西２丁目,"53,000円 (管理費6,000円)",502号室 / 1K / 17.99㎡ / 北西
【空室2件】 コーポ原田,神奈川県横浜市青葉区梅が丘,"70,000円 (管理費4,000円)",102号室 / 2DK / 35.43㎡ / 南
【空室25件】 S-RESIDENCE横浜大通り公園,神奈川県横浜市南区真金町２丁目,"78,500円 (管理費10,000円)",1003号室 / 1K / 21㎡ / 北東
【空室6件】 ジェノヴィア阪東橋Ⅱスカイガーデン,神奈川県横浜市南区万世町２丁目,"89,500円 (管理費10,000円)",707号室 / 1K / 26.3㎡ / 北
【空室3件】 グラマシー横濱関内,神奈川県横浜市中区翁町２丁目,"88,000円 (管理費8,000円)",0804号室 / 1K / 24.8㎡ / 北西
【空室3件】 リブリ・サンシャイン希望ヶ丘,神奈川県横浜市旭区中希望が丘,"62,000円 (管理費4,000円)",101号室 / 1K / 22.35㎡ / 南西
【空室2件】 ブランミュール横浜鶴見Ⅲ,神奈川県横浜市鶴見区生麦,"69,000円 (管理費10,000円)",0201号室 / 1K / 21.01㎡ / 南東
【空室1件】 ブランミュール横浜鶴見Ⅱ,神奈川県横浜市鶴見区生麦,"69,000円 (管理費10,000円)",0204号室 / 1K / 21.01㎡ / 南東
【空室5件】 ブランミュール横浜鶴見Ⅰ,神奈川県横浜市鶴見区生麦,"68,000円 (管理費10,000円)",0202号室 / 1K / 21.53㎡ / 南東
【空室1件】 ヴィラ立場,神奈川県横浜市泉区和泉中央南２丁目,"72,000円 (管理費3,000円)",408号室 / 1K / 27.32㎡ / 南西
【空室2件】 セレーノ金沢八景,神奈川県横浜市金沢区瀬戸,"62,000円 (管理費4,000円)",102号室 / 1K / 20.02㎡ / 南東
【空室1件】 リブリ・東寺尾東台,神奈川県横浜市鶴見区東寺尾東台,"67,000円 (管理費4,000円)",303号室 / 1K / 22.35㎡ / 南
【空室1件】 リビオ綱島,神奈川県横浜市港北区綱島東１丁目,"104,000円 (管理費9,000円)",０９０２号室 / 1R / 31.46㎡ / 南東
【空室5件】 リブリ・マリアージュ,神奈川県横浜市瀬谷区阿久和西３丁目,"76,000円 (管理費4,000円)",105号室 / 1LDK / 40.99㎡ / 南
【空室1件】 ル・グロワール,神奈川県横浜市南区南太田１丁目,"72,000円 (管理費6,000円)",0201号室 / 1K / 26.15㎡ / 南東
【空室1件】 マリオン横浜ハーバーライト,神奈川県横浜市西区平沼１丁目,"52,000円 (管理費4,000円)",803号室 / 1R / 17.38㎡ / 北東
【空室1件】 Hills Sette Isola,神奈川県横浜市神奈川区七島町,"57,000円 (管理費5,000円)",306号室 / 1K / 16.6㎡ / 南
【空室1件】 クレーンイーストヒルズ,神奈川県横浜市鶴見区東寺尾３丁目,"48,000円 (管理費5,000円)",2C号室 / 1R / 15.17㎡ / 南
【空室1件】 ハイム安井弐番館,神奈川県横浜市神奈川区羽沢南１丁目,"63,000円 (管理費3,000円)",201号室 / 2DK / 40㎡ / 南東
【空室3件】 リブリ・リヴェール樽町,神奈川県横浜市港北区樽町４丁目,"78,000円 (管理費4,000円)",110号室 / 1K / 27.32㎡ / 南
【空室1件】 シーガル鶴見,神奈川県横浜市鶴見区鶴見中央２丁目,"59,000円 (管理費6,000円)",503号室 / 1K / 22.41㎡ / -
【空室1件】 トゥージュール　エエム,神奈川県横浜市神奈川区松見町３丁目,"75,000円 (管理費5,150円)",202号室 / 1K / 27.13㎡ / 南東
【空室1件】 ライオンズマンション横浜保土ヶ谷,神奈川県横浜市保土ケ谷区岩崎町,"70,000円 (管理費0円)",０２０４号室 / 1DK / 33.91㎡ / 南西
【空室1件】 リブリ・サンシャイン日光,神奈川県横浜市磯子区森３丁目,"73,000円 (管理費4,000円)",201号室 / 1K / 26.08㎡ / 南
【空室4件】 リヴシティ横濱蒔田弐番館,神奈川県横浜市南区宮元町２丁目,"71,000円 (管理費10,000円)",703号室 / 1K / 21.32㎡ / 北西
【空室1件】 ＶｏｙａｇｅＹｏｋｏｈａｍａ,神奈川県横浜市神奈川区栄町,"66,000円 (管理費3,000円)",102号室 / 1K / 21.4㎡ / -
【空室3件】 ａ・ｃｕｂｅ,神奈川県横浜市青葉区青葉台１丁目,"110,000円 (管理費6,000円)",305号室 / 1LDK / 49.93㎡ / 北東
【空室3件】 ラティエラ横濱鶴見,神奈川県横浜市鶴見区豊岡町,"168,000円 (管理費12,000円)",707号室 / 1LDK / 39.78㎡ / 西
